"","lon","lat","range"
"1034184",30.466151,31.039069,94
"1034185",30.466487,31.038259,8
"1034186",30.474336,31.019418,10000
"1034187",30.479904,31.012336,915
"1034188",30.476147,31.016233,52
"1034189",30.478087,31.013621,148
"1034190",30.47946,31.012088,10000
"1034191",30.48468,31.007748,10000
"1034192",30.491296,31.003801,578
"1034193",30.496889,31.000534,10000
"1034194",30.500996,30.998108,242
"1034195",30.504861,30.995848,68
"1034196",30.515495,30.989615,1088
"1034197",30.533419,30.979089,995
"1034198",30.542847,30.973549,10000
"1034199",30.555698,30.965975,1309
"1034200",30.576972,30.95128,1114
"1034201",30.59313,30.938632,828
"1034202",30.601098,30.932383,10000
"1034203",30.609575,30.925693,934
"1034204",30.630366,30.909246,1776
"1034205",30.655615,30.889247,1403
"1034206",30.698685,30.855407,4820
"1034207",30.736202,30.825537,10000
"1034208",30.745146,30.818484,1104
"1034209",30.755231,30.811928,10000
"1034210",30.757092,30.81151,62
"1034211",30.760655,30.811311,180
"1034212",30.764685,30.811641,10000
"1034213",30.793742,30.817693,2516
"1034214",30.778133,30.814732,79
"1034215",30.791936,30.817762,488
"1034216",30.799046,30.818864,995
"1034217",30.792738,30.817938,77
"1034218",30.796067,30.818665,10000
"1034219",30.804227,30.819681,565
"1034220",30.802302,30.819947,16
"1034221",30.807021,30.819774,10000
"1034222",30.807394,30.81975,19
"1034223",30.809177,30.819477,64
"1034224",30.813405,30.819243,227
"1034225",30.822424,30.818193,746
"1034226",30.831787,30.816564,63
"1034227",30.853207,30.812276,2186
"1034228",30.876394,30.807778,10000
"1034229",30.878598,30.807351,122
"1034230",30.880432,30.807009,10000
"1034231",30.892066,30.804786,828
"1034232",30.90926,30.801485,768
"1034233",30.952122,30.793265,3332
"1034234",30.926429,30.798234,279
"1034235",30.932764,30.797006,194
"1034236",30.936714,30.796241,10000
"1034237",30.940313,30.795546,192
"1034238",30.975479,30.788739,178
"1034239",30.982267,30.787172,424
"1034240",30.983689,30.78666,337
"1034241",30.988984,30.784351,195
"1034242",30.991794,30.782823,136
"1034243",30.993065,30.781957,15
"1034244",30.993457,30.781647,13
"1034245",30.993917,30.78136,10
"1034246",30.995029,30.780602,179
"1034247",30.994265,30.781137,10000
"1034248",30.997793,30.778677,166
"1034249",31.000544,30.776826,109
"1034250",31.006793,30.768452,1142
"1034251",31.012897,30.757345,112
"1034252",31.013991,30.755253,10000
"1034253",31.015785,30.751942,285
"1034254",31.017977,30.747755,77
"1034255",31.020667,30.742777,439
"1034256",31.024348,30.735896,238
"1034257",31.027073,30.739741,1100
"1034258",31.030876,30.723711,584
"1034259",31.038925,30.708684,1157
"1034260",31.046256,30.694782,496
"1034261",31.049372,30.688924,10000
"1034262",31.05971,30.669623,2143
"1034263",31.069831,30.650594,79
"1034264",31.071189,30.648039,76
"1034265",31.072778,30.645045,172
"1034266",31.075786,30.640263,242
"1034267",31.081544,30.635893,389
"1034268",31.087573,30.631966,315
"1034269",31.090974,30.629448,10000
"1034270",31.095152,30.626756,163
"1034271",31.096725,30.62571,10000
"1034272",31.098872,30.624246,117
"1034273",31.103552,30.618052,607
"1034274",31.106545,30.612478,10000
"1034275",31.114807,30.596361,1640
"1034276",31.122528,30.581237,10000
"1034277",31.087991,30.568633,3838
"1034278",31.126411,30.573675,10000
"1034279",31.127115,30.572344,10000
"1034280",31.12912,30.568459,287
"1034281",31.130457,30.565814,10000
"1034282",31.135178,30.556787,797
"1034283",31.138832,30.549477,83
"1034284",31.133355,30.547913,626
"1034285",31.141771,30.543826,288
"1034286",31.146136,30.535375,732
"1034287",31.157472,30.513581,10000
"1034288",31.15852,30.511616,186
"1034289",31.163457,30.502211,832
