"","lon","lat","range"
"2298054",-21.975149,64.149545,10000
"2298055",-21.976758,64.149412,35
"3018373",-21.853779,64.099627,37
"3018381",-21.854694,64.099693,10000
"3022394",-19.012963,63.417823,56
"3042543",-21.879447,64.120688,46
"3066729",-21.882768,64.134461,122
"3068145",-21.810216,64.13797,24
"3068154",-21.810621,64.137993,10000
"3072513",-21.793305,64.107163,48
"3072533",-21.793185,64.107369,10000
"3090927",-21.847842,64.13021,77
"3141216",-21.918483,64.140165,286
"3142749",-18.529673,65.969562,10000
"3150027",-22.443864,63.840343,10000
"3151357",-22.435894,63.83854,6
"3155379",-21.852329,64.10145,677
"3160119",-21.908445,64.093767,41
"3179020",-21.933796,64.147167,394
"3203144",-21.738637,64.126602,10000
"3203151",-21.739931,64.125894,49
"3203160",-21.742922,64.126066,10000
"3224737",-21.824066,64.104918,4
"3229198",-21.835194,64.105735,885
"3229263",-21.829184,64.107754,804
"3229556",-21.549582,64.766885,1
"3248797",-18.100741,65.675901,20
"3303077",-21.778645,64.151688,10000
"3323122",-21.815187,64.11825,1118
"3323133",-21.817352,64.111991,22
"3323457",-21.790127,64.110882,16
"3343097",-22.385004,63.979409,10000
"3345847",-21.81781,64.111834,15
"3345856",-21.817577,64.111922,4
"3345864",-21.824284,64.121652,1137
"3399164",-21.701225,64.163274,173
"3428873",-21.896087,64.089896,7
"3428899",-21.894675,64.088666,303
"3452436",-22.573387,63.969614,10000
"3466488",-20.672295,64.202577,1
"3466494",-20.67228,64.20258,10000
"3466593",-20.672439,64.202562,11
"3470562",-21.800108,64.153467,1748
"3515818",-21.953962,64.073056,2
"3531570",-21.947101,64.064484,30
"3542932",-21.927941,64.144014,6
"3556220",-20.267465,63.440515,3
"3574697",-21.807114,64.118559,10000
"3579530",-20.712845,64.147817,27
"3581894",-21.005407,63.929565,10000
"3684360",-21.000259,63.923372,19
"3697588",-21.00057,63.923235,58
"3697593",-21.00117,63.922965,10000
"3709331",-21.88544,64.142176,330
"3713209",-22.568391,64.005391,2
"3740308",-21.888616,64.14504,327
"3752516",-21.888772,64.103601,9
"3752521",-21.888761,64.103628,10000
"3768821",-21.180895,63.994751,28
"3781293",-21.550962,64.767043,33
"3788451",-21.945931,64.147709,27
"3788463",-21.946091,64.147674,10000
"3812656",-21.999072,64.153744,180
"3812657",-21.563176,64.185186,21435
"3850207",-21.552297,64.765632,10000
"3875293",-21.98449,64.056909,5
"3879440",-18.176885,65.736039,10000
"3879852",-21.996188,64.157792,4
"3897641",-21.778509,64.149564,6
"3979359",-21.833837,64.099061,10000
"3979462",-21.834256,64.099448,13
"4041544",-21.834151,64.098961,10000
"4053967",-18.104322,65.677721,20
"4053980",-18.103992,65.678004,18
"4070912",-21.8286,64.107227,122
"4070916",-21.827295,64.107731,10000
"4070926",-21.83023,64.106403,10000
"4073625",-21.880557,64.121616,453
"4158968",-21.891756,64.104378,600
"4414317",-21.834451,64.093622,10000
"4414764",-21.847965,64.102279,4025
"4463988",-21.945323,64.137222,10000
"4508124",-21.859678,64.101988,1329
"4515739",-21.646412,64.106619,93
"4523436",-21.6559,64.12671,3726
"4523437",-21.6479,64.106906,101
"4523438",-21.646371,64.106544,10000
"4523439",-21.659249,64.132659,1404
"4523441",-21.652458,64.130067,485
"4523442",-21.677887,64.147527,1911
"4523443",-21.672225,64.152176,1800
"4523446",-21.644804,64.107875,10000
"4523447",-21.646371,64.10655,1
"4535014",-21.723812,64.164705,10000
"4535015",-21.725426,64.164753,72
"4535016",-21.727563,64.164107,141
"4535017",-21.730614,64.157734,670
"4535018",-21.744998,64.149005,464
"4535019",-21.757311,64.140446,559
"4535020",-21.762167,64.134343,210
"4535021",-21.768765,64.130459,323
"4535022",-21.778266,64.126902,281
"4535023",-21.790242,64.125037,800
"4535024",-21.802443,64.124327,60
"4535025",-21.805415,64.124365,10000
"4535026",-21.808215,64.124306,52
"4535027",-21.816938,64.124148,247
"4535028",-21.827173,64.124045,183
"4535029",-21.841869,64.124532,419
"4535030",-21.853478,64.124945,969
"4535031",-21.862321,64.127405,112
"4535032",-21.872397,64.12912,331
"4535033",-21.882445,64.131832,390
"4535034",-21.883752,64.131486,445
"4535035",-21.887344,64.132446,512
"4535036",-21.898919,64.13274,515
"4535037",-21.90583,64.133953,408
"4535038",-21.913902,64.134323,5782
"4535039",-21.91709,64.134716,439
"4535040",-21.92304,64.135381,579
"4535041",-21.935636,64.136949,755
"4535042",-21.943786,64.140636,244
"4535043",-21.948325,64.142877,110
"4535044",-21.95145,64.144476,144
"4535045",-21.953466,64.145472,167
"4535046",-21.95625,64.146953,269
"4535047",-21.95902,64.149291,126
"4535048",-21.958209,64.148546,253
"4535049",-21.960769,64.149316,5140
"4535050",-21.948354,64.153595,258
"4535051",-21.944357,64.15542,355
"4535053",-21.938484,64.137718,704
"4535054",-21.944021,64.140619,53
"4535055",-21.929286,64.131982,105
"4535056",-21.927529,64.131449,232
"4535057",-21.928445,64.126936,551
"4535058",-21.897361,64.12989,10000
"4535059",-21.896247,64.129172,331
"4535060",-21.899377,64.128796,452
"4535061",-21.894593,64.129255,209
"4535062",-21.893179,64.130166,12
"4535063",-21.894243,64.130384,26
"4554856",-21.849013,64.1015,340
"4554913",-21.850199,64.105658,493
"4557978",-21.831274,64.104991,5701
"4562783",-21.862669,64.126871,2906
"4564748",-22.5966,64.032937,10000
"4564753",-22.609124,64.048751,568
"4564778",-22.64289,64.06589,702
"4566413",-21.939465,64.073596,10000
"4566422",-21.951621,64.065902,2483
"4566434",-21.940887,64.079564,16
"4581509",-21.918864,64.137733,1086
"4581517",-21.891157,64.131853,681
"4584530",-21.851058,64.100059,241
"4584563",-21.847769,64.098812,49
"4591217",-21.759846,64.133036,2885
"4591718",-21.867698,64.129899,121
"4609181",-21.696546,64.150268,16
"4609182",-21.702551,64.147809,462
"4609183",-21.706742,64.147651,186
"4609185",-21.698012,64.146609,901
"4609186",-21.707522,64.147187,31
"4609187",-21.708222,64.147201,10
"4609188",-21.694192,64.146874,781
"4609189",-21.710276,64.147037,7
"4609190",-21.710336,64.147035,10000
"4609191",-21.710326,64.147067,1
"4609192",-21.707767,64.147107,125
"4609193",-21.570018,64.141959,67621
"4609194",-21.710293,64.147003,10000
"4609195",-21.709746,64.147126,31
"4609196",-21.710207,64.14711,10000
"4609197",-21.704328,64.147131,10000
"4609198",-21.703513,64.146799,10000
"4609199",-21.702177,64.146704,56
"4609200",-21.700927,64.146563,8
"4609201",-21.675803,64.143906,1133
"4609202",-21.696447,64.146533,23
"4609203",-21.679748,64.145855,9
"4610896",-21.882223,64.100464,832
"4614913",-21.753121,64.129552,10000
"4614920",-21.756649,64.131747,585
"4615010",-21.806147,64.144472,10000
"4615014",-21.82257,64.135726,1556
"4615095",-21.810922,64.139439,706
"4615636",-21.791528,64.130096,2228
"4615653",-21.811893,64.139674,10000
"4615657",-21.812063,64.139522,10000
"4621494",-21.870042,64.129765,24
"4622697",-22.043212,64.03384,10000
"4622700",-22.076844,64.032251,4458
"4622711",-22.026789,64.04157,1094
"4627739",-21.936795,64.148596,152
"4628122",-21.880829,64.151539,10000
"4628124",-21.87767,64.151101,10000
"4628137",-21.857921,64.139988,1474
"4628148",-21.84755,64.12026,1547
"4628168",-21.827012,64.11136,6941
"4628218",-21.727998,64.087992,1628
"4631930",-21.956397,64.138743,71
"4632111",-21.956501,64.138804,10000
"4632119",-21.956501,64.138804,10000
"4633714",-21.940634,64.144213,808
"4652796",-21.753213,64.129275,610
"4653290",-21.760061,64.129322,689
"4661576",-20.817156,64.035632,115
"4661579",-20.818524,64.036014,10000
"4661581",-20.818548,64.036168,1
"4661593",-20.81854,64.036164,10000
"4679325",-21.946548,64.138078,10000
"4684697",-21.906898,64.074216,18
"4684711",-21.905532,64.074241,6
"4684713",-21.902399,64.076909,1598
"4689505",-21.002917,64.107424,37078
"4689527",-21.769821,64.119005,939
"4692692",-23.830936,64.92037,1504
"4692727",-23.847605,64.918214,633
"4692728",-23.86156,64.91676,10000
"4692729",-23.867265,64.916513,256
"4692730",-23.86778,64.91651,10000
"4692731",-23.86746,64.91654,10000
"4692732",-23.866607,64.916593,25
"4692733",-23.861911,64.916734,185
"4692734",-23.821217,64.9166,1975
"4692736",-23.845235,64.918575,69
"4692832",-23.782282,64.907931,2403
"4693304",-21.667567,64.15968,41
"4698624",-21.913893,64.140982,29
"4708348",-21.760998,64.116123,48
"4708355",-21.762298,64.115617,10000
"4708359",-21.790962,64.10303,5016
"4715784",-21.942303,64.137902,529
"4719459",-21.955394,64.138635,10000
"4719954",-21.946682,64.137682,10000
"4720641",-21.944283,64.136856,10000
"4720649",-21.945947,64.137412,10000
"4722254",-21.814249,64.121052,1548
"4731900",-21.799041,64.122449,2777
"4742239",-21.811949,64.101014,5849
"4746268",-21.830271,64.100752,624
"4746384",-21.843612,64.11465,832
"4746402",-21.850925,64.126967,1905
"4746412",-21.713864,64.160922,2821
"4746467",-21.695469,64.165023,174
"4746471",-21.706869,64.16545,567
"4746519",-21.756317,64.141035,804
"4746578",-21.886332,64.104154,956
"4746580",-21.881107,64.103793,218
"4746991",-21.736381,64.150333,3507
"4751057",-21.924223,64.02477,122
"4751409",-21.941064,64.066343,2051
"4752387",-21.937733,64.074255,29
